Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Casa;Lurigancho;2;0;1;100;7000.0;;
Casa en condominio;Ate;5;4;5;750;22000.0;;
Casa en condominio;El Agustino;2;2;0;65;1000.0;;
Casa en condominio;San Luis;3;1;1;115;2000.0;;
Casa en condominio;Ate;4;3;2;466;7500.0;2695.0;
Casa;Lince;4;1;2;400;12000.0;;
Casa en condominio;Ate;5;10;5;1600;25000.0;1600.0;
Casa;Santa Anita;2;0;0;51;1500.0;50.0;
Casa;Punta Hermosa;4;2;4;730;28000.0;2000.0;12000.0
Casa comercial;Chorrillos;0;0;0;140;7000.0;;137.0
Casa en condominio;Callao;5;3;1;140;2500.0;1200.0;
Casa de villa;Ate;2;1;0;70;1300.0;;
Casa;San Luis;8;3;5;259;7000.0;;
Casa;Breña;1;0;0;33;1200.0;;
Casa comercial;Chorrillos;0;0;0;220;16000.0;;
Casa;Lurín;3;2;1;135;3000.0;;
Casa;San Borja;2;0;0;40;950.0;;50.0
Casa en condominio;Ate;4;2;4;595;30000.0;2500.0;2510.0
Casa en condominio;Jesús María;4;4;4;267;6500.0;700.0;3308.0
Casa;San Miguel;4;1;1;191;4000.0;300.0;
Casa en condominio;Punta Hermosa;3;2;1;250;5500.0;750.0;500.0
Casa comercial;La Punta;0;0;0;139;16740.0;1953.0;139.0
Casa en condominio;Ate;4;4;4;1000;30000.0;2695.0;23715.0
Casa de villa;Pachacámac;2;1;2;115;1600.0;1.0;60.0
Casa de villa;Santiago de Surco;1;0;1;40;800.0;;
Casa en condominio;Callao;2;1;0;163;1800.0;92.0;46.0
Casa;Mi Perú;5;4;2;450;7000.0;;500.0
Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;
Casa;Lince;3;0;0;200;2100.0;;
Casa en condominio;Ate;5;6;5;640;13800.0;980.0;1800.0
Casa;Chaclacayo;2;0;0;51;1000.0;;
Casa en condominio;Ate;5;3;5;1000;20000.0;1800.0;1800.0
Casa en condominio;Villa El Salvador;5;4;5;300;5000.0;1500.0;250.0
Casa;Santa Rosa;2;0;0;70;1100.0;;
Casa en condominio;Ate;4;3;2;188;6000.0;1022.0;
Casa de villa;Comas;2;1;0;48;750.0;;
Casa en condominio;Ate;3;0;2;367;6000.0;510.0;423.0
Casa;Lurigancho;2;4;1;107;9500.0;;1091.0
Casa;Jesús María;4;4;2;367;12000.0;;653.0
Casa comercial;Chorrillos;3;0;0;280;13000.0;450.0;1387.0
Casa de villa;Lince;3;1;0;100;2000.0;100.0;
Casa;Chorrillos;12;5;0;500;18000.0;;1800.0
Casa en condominio;Ate;4;2;4;280;8500.0;750.0;620.0
Casa;Lurín;10;0;10;300;15000.0;;220.0
Casa;Punta Hermosa;4;0;4;1200;25000.0;;
Casa;Lince;2;1;2;100;1500.0;;30.0
Casa;Villa El Salvador;2;1;0;70;1900.0;580.0;25.0
Casa en condominio;San Juan de Miraflores;2;0;1;100;1500.0;160.0;80.0
Casa;Pucusana;5;3;0;260;7000.0;;163.0
Casa en condominio;Jesús María;4;3;4;198;4500.0;1160.0;3012.0
Casa;Mi Perú;1;0;0;40;850.0;;
Casa;Bellavista;1;0;0;35;400.0;;
Casa en condominio;Pueblo Libre;2;1;0;70;800.0;200.0;
Casa en condominio;Lurigancho;4;4;1;380;12000.0;870.0;1290.0
Casa en condominio;Ate;4;4;3;280;11000.0;1200.0;1100.0
Casa comercial;Santa Rosa;0;1;0;100;2000.0;;
Casa;Jesús María;3;2;1;321;9000.0;1400.0;
Casa;San Luis;3;1;0;100;2100.0;250.0;
Casa;Lince;2;1;0;100;1300.0;;
Casa comercial;San Borja;12;0;12;360;17000.0;;1150.0
Casa en condominio;Lince;2;2;0;100;1200.0;40.0;1.0
Casa;Ate;6;4;6;540;25000.0;2333.0;2900.0
Casa;Lince;2;0;0;70;1000.0;;
Casa;Ate;4;6;2;232;6500.0;1100.0;800.0
Casa en condominio;Ate;5;6;5;1050;15000.0;2000.0;2000.0
Casa comercial;Lurigancho;0;0;0;80;6000.0;;1000.0
Casa;El Agustino;2;0;0;40;950.0;;
Casa comercial;El Agustino;0;0;0;120;2400.0;;
